""	"Gene"	"GSM6160812"	"GSM6160813"	"GSM6160814"	"GSM6160821"	"GSM6160822"	"GSM6160823"
"15675"	"CCDC71L"	532	598	610	892	859	826
"15676"	"PIK3CG"	0	0	0	0	0	1
"15677"	"PRKAR2B"	532	494	428	273	308	288
"15678"	"PRKAR2B-AS1"	0	0	0	0	0	0
"15679"	"HBP1"	1574	1639	1459	1802	1850	1902
"15680"	"COG5"	1916	1742	1651	1597	1619	1574
"15681"	"GPR22"	4	2	0	6	2	0
"15682"	"DUS4L"	497	503	579	466	505	448
"15683"	"DUS4L-BCAP29"	1296	1300	1195	1290	1356	1405
"15684"	"BCAP29"	973	986	869	1018	1096	1107
"15685"	"LOC105375443"	4	6	6	8	10	4
"15686"	"SLC26A4-AS1"	2	0	0	0	6	2
"15687"	"SLC26A4"	14	18	16	2	9	4
"15688"	"CBLL1-AS1"	81	82	72	81	77	68
"15689"	"CBLL1"	1702	1786	1719	1954	2069	2155
"15690"	"SLC26A3"	1	0	0	1	0	0
"15691"	"LOC105375444"	0	0	0	0	0	0
"15692"	"LOC105375445"	0	0	0	0	0	0
"15693"	"DLD"	6016	6077	5945	6006	6382	6454
"15694"	"LAMB1"	16633	15927	15191	13822	14510	14230
"15695"	"LAMB4"	29	35	20	5	18	18
"15696"	"LOC107986834"	0	0	1	0	0	0
"15697"	"LOC107986835"	0	0	2	0	0	0
"15698"	"LOC105375446"	0	0	2	2	0	1
"15699"	"NRCAM"	16666	15193	14463	14311	15575	16134
"15700"	"LOC102724363"	17	15	13	9	13	7
"15701"	"PNPLA8"	1712	1679	1733	1545	1729	1731
"15702"	"THAP5"	1564	1496	1540	1672	1827	2035
"15703"	"DNAJB9"	811	859	826	926	905	912
"15704"	"LOC105375448"	0	0	0	0	0	0
"15705"	"LOC107986836"	0	0	0	0	0	0
"15706"	"LINC02903"	0	0	0	0	0	0
"15707"	"LOC112268010"	0	0	0	0	0	0
"15708"	"EIF3IP1"	0	0	0	0	0	0
"15709"	"LOC105375451"	25	22	21	19	11	28
"15710"	"LOC105375450"	5	0	0	0	0	0
"15711"	"LOC105375452"	0	0	0	0	0	0
"15712"	"IMMP2L"	421	374	423	390	394	328
"15713"	"LRRN3"	22	22	32	35	29	27
"15714"	"DOCK4"	1578	1478	1209	2580	2796	2840
"15715"	"DOCK4-AS1"	0	0	0	0	0	2
"15716"	"ZNF277"	987	964	874	972	943	1090
"15717"	"LOC105375456"	0	0	0	4	0	0
"15718"	"IFRD1"	1662	1664	1787	1819	2001	1935
"15719"	"LOC105375457"	2	5	0	0	5	1
"15720"	"LSMEM1"	52	41	38	38	50	47
"15721"	"LOC100996249"	0	0	0	0	0	0
"15722"	"LOC101928012"	0	0	0	0	0	0
"15723"	"TMEM168"	918	920	922	791	858	819
"15724"	"BMT2"	551	552	533	623	592	721
"15725"	"HRAT17"	0	0	0	0	0	0
"15726"	"GPR85"	0	0	0	0	0	0
"15727"	"LOC107986837"	0	2	0	0	0	2
"15728"	"SMIM30"	1283	1138	1324	1054	1115	1235
"15729"	"PPP1R3A"	0	0	0	0	0	0
"15730"	"FOXP2"	0	2	1	2	6	2
"15731"	"MIR3666"	0	0	0	0	0	0
"15732"	"MDFIC"	2722	2520	2415	2352	2541	2596
"15733"	"LINC01393"	11	8	10	5	3	13
"15734"	"LINC01392"	0	1	0	0	0	0
"15735"	"SNORA25B"	0	0	0	0	0	0
"15736"	"LOC100506489"	0	0	0	0	0	0
