ENSG00000067048
ENSG00000067646
ENSG00000078081
ENSG00000089127
ENSG00000099725
ENSG00000100376
ENSG00000100450
ENSG00000109956
ENSG00000111331
ENSG00000114374
ENSG00000115523
ENSG00000119917
ENSG00000119922
ENSG00000126709
ENSG00000131002
ENSG00000132530
ENSG00000133067
ENSG00000133106
ENSG00000134321
ENSG00000134326
ENSG00000134539
ENSG00000134716
ENSG00000135114
ENSG00000137959
ENSG00000137965
ENSG00000138642
ENSG00000138646
ENSG00000142156
ENSG00000143751
ENSG00000148498
ENSG00000149054
ENSG00000154620
ENSG00000157601
ENSG00000158865
ENSG00000161133
ENSG00000165171
ENSG00000173809
ENSG00000176728
ENSG00000177570
ENSG00000183570
ENSG00000184368
ENSG00000184979
ENSG00000185304
ENSG00000185507
ENSG00000185745
ENSG00000187608
ENSG00000187627
ENSG00000187796
ENSG00000188313
ENSG00000188681
ENSG00000196141
ENSG00000198692
ENSG00000205336
ENSG00000206503
ENSG00000215559
ENSG00000215580
ENSG00000224237
ENSG00000225886
ENSG00000225964
ENSG00000226752
ENSG00000226816
ENSG00000227051
ENSG00000228314
ENSG00000229236
ENSG00000229358
ENSG00000231535
ENSG00000241859
ENSG00000249780
ENSG00000260197
ENSG00000260910
ENSG00000267793
ENSG00000276077
ENSG00000278212
ENSG00000286009
ENSG00000286619
ENSG00000287188
ENSG00000288049
